@relation digTest5k

@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute f8 numeric
@attribute f9 numeric
@attribute f10 numeric
@attribute f11 numeric
@attribute f12 numeric
@attribute f13 numeric
@attribute f14 numeric
@attribute f15 numeric
@attribute f16 numeric
@attribute f17 numeric
@attribute f18 numeric
@attribute f19 numeric
@attribute f20 numeric
@attribute f21 numeric
@attribute f22 numeric
@attribute f23 numeric
@attribute f24 numeric
@attribute f25 numeric
@attribute f26 numeric
@attribute f27 numeric
@attribute f28 numeric
@attribute f29 numeric
@attribute f30 numeric
@attribute f31 numeric
@attribute f32 numeric
@attribute f33 numeric
@attribute f34 numeric
@attribute f35 numeric
@attribute f36 numeric
@attribute f37 numeric
@attribute f38 numeric
@attribute f39 numeric
@attribute f40 numeric
@attribute f41 numeric
@attribute f42 numeric
@attribute f43 numeric
@attribute f44 numeric
@attribute f45 numeric
@attribute f46 numeric
@attribute f47 numeric
@attribute f48 numeric
@attribute f49 numeric
@attribute f50 numeric
@attribute f51 numeric
@attribute f52 numeric
@attribute f53 numeric
@attribute f54 numeric
@attribute f55 numeric
@attribute f56 numeric
@attribute f57 numeric
@attribute f58 numeric
@attribute f59 numeric
@attribute f60 numeric
@attribute f61 numeric
@attribute f62 numeric
@attribute f63 numeric
@attribute f64 numeric
@attribute f65 numeric
@attribute f66 numeric
@attribute f67 numeric
@attribute f68 numeric
@attribute f69 numeric
@attribute f70 numeric
@attribute f71 numeric
@attribute f72 numeric
@attribute f73 numeric
@attribute f74 numeric
@attribute f75 numeric
@attribute f76 numeric
@attribute f77 numeric
@attribute f78 numeric
@attribute f79 numeric
@attribute f80 numeric
@attribute f81 numeric
@attribute f82 numeric
@attribute f83 numeric
@attribute f84 numeric
@attribute f85 numeric
@attribute f86 numeric
@attribute f87 numeric
@attribute f88 numeric
@attribute f89 numeric
@attribute f90 numeric
@attribute f91 numeric
@attribute f92 numeric
@attribute f93 numeric
@attribute f94 numeric
@attribute f95 numeric
@attribute f96 numeric
@attribute f97 numeric
@attribute f98 numeric
@attribute f99 numeric
@attribute f100 numeric
@attribute f101 numeric
@attribute f102 numeric
@attribute f103 numeric
@attribute f104 numeric
@attribute f105 numeric
@attribute f106 numeric
@attribute f107 numeric
@attribute f108 numeric
@attribute f109 numeric
@attribute f110 numeric
@attribute f111 numeric
@attribute f112 numeric
@attribute f113 numeric
@attribute f114 numeric
@attribute f115 numeric
@attribute f116 numeric
@attribute f117 numeric
@attribute f118 numeric
@attribute f119 numeric
@attribute f120 numeric
@attribute f121 numeric
@attribute f122 numeric
@attribute f123 numeric
@attribute f124 numeric
@attribute f125 numeric
@attribute f126 numeric
@attribute f127 numeric
@attribute f128 numeric
@attribute f129 numeric
@attribute f130 numeric
@attribute f131 numeric
@attribute f132 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9}

@data
0,0,0,0,0.033639,0,0,0,0,0.001019,0,0,0.100917,0.060345,0.060345,0.051724,0.008621,0,0,0,0,0.205387,0,0,0,0,0.054027,0,0,0,0,0.103976,0,0,0,0,0,0.060345,0.077586,0.043103,0,0,0,0.193603,0,0,0,0,0.159021,0,0,0,0,0,0,0,0.017329,0.103448,0.025862,0,0,0,0,0,0,0.138047,0,0,0,0,0.195719,0,0,0,0,0.002039,0.004077,0,0,0,0,0,0.008621,0.103448,0.017241,0,0,0.121212,0,0,0,0,0.093782,0,0,0,0,0,0,0.039755,0,0.068966,0,0,0,0,0,0.077586,0.060345,0.208754,0,0,0,0,0.088685,0,0,0,0,0,0.106014,0,0,0,0,0,0,0.034483,0.086207,0.051724,0,0.132997,0
0,0,0,0,0,0,0,0,0,0,0,0.021944,0.00627,0.119565,0.01087,0.043478,0.021739,0.076087,0,0,0.01087,0.296443,0,0,0,0,0,0,0.018809,0,0,0.272727,0,0,0,0,0,0,0,0.043478,0.01087,0,0,0.019763,0,0,0,0,0,0,0,0,0,0,0,0.097179,0,0.119565,0,0,0,0,0,0,0.032609,0.209486,0,0,0,0,0,0,0,0,0,0.225705,0,0,0,0,0,0,0.021739,0.130435,0,0,0,0.102767,0,0,0,0,0,0,0,0,0,0,0,0.250784,0,0.086957,0,0,0,0,0,0,0.01087,0.063241,0,0,0,0,0,0,0,0,0,0.075235,0.012539,0.018809,0,0.043478,0,0,0.043478,0.097826,0.021739,0.021739,0.032609,0.3083,1
0,0,0,0,0.033639,0,0,0,0,0.001019,0,0,0.100917,0.060345,0.060345,0.051724,0.008621,0,0,0,0,0.205387,0,0,0,0,0.054027,0,0,0,0,0.103976,0,0,0,0,0,0.060345,0.077586,0.043103,0,0,0,0.193603,0,0,0,0,0.159021,0,0,0,0,0,0,0,0.017329,0.103448,0.025862,0,0,0,0,0,0,0.138047,0,0,0,0,0.195719,0,0,0,0,0.002039,0.004077,0,0,0,0,0,0.008621,0.103448,0.017241,0,0,0.121212,0,0,0,0,0.093782,0,0,0,0,0,0,0.039755,0,0.068966,0,0,0,0,0,0.077586,0.060345,0.208754,0,0,0,0,0.088685,0,0,0,0,0,0.106014,0,0,0,0,0,0,0.034483,0.086207,0.051724,0,0.132997,0
0,0,0.006859,0,0,0,0,0.009602,0.010974,0.009602,0,0.032922,0.039781,0.018182,0.045455,0.081818,0.018182,0,0.027273,0.081818,0.027273,0.272109,0,0,0,0,0,0,0,0,0,0.178326,0,0,0,0.009091,0,0.018182,0.027273,0.045455,0,0,0.009091,0.136054,0,0,0,0,0,0,0,0,0.035665,0,0,0.164609,0,0.045455,0.027273,0,0,0,0,0,0,0.047619,0,0,0,0,0,0,0.021948,0,0.001372,0.150892,0,0,0,0,0.009091,0,0,0.054545,0.036364,0,0.009091,0.146259,0,0,0,0,0,0,0,0,0,0,0,0.201646,0,0.045455,0.009091,0,0,0,0,0.009091,0.018182,0.098639,0,0,0,0,0,0.002743,0.020576,0.002743,0,0.080933,0,0.028807,0,0,0.009091,0.063636,0.063636,0.036364,0.009091,0.109091,0.036364,0.29932,2
0,0,0,0,0,0,0,0,0.110526,0,0,0.047368,0.002632,0.026316,0.008772,0.078947,0,0,0,0.078947,0,0.175,0,0,0,0,0,0,0.002632,0,0.026316,0.115789,0,0,0,0.008772,0.026316,0.026316,0.026316,0.061404,0.008772,0.017544,0.017544,0.196429,0,0,0,0,0,0,0,0,0.118421,0,0,0.086842,0,0.017544,0.035088,0.017544,0,0,0,0.026316,0.017544,0.114286,0,0,0,0,0,0,0.042105,0,0.018421,0.068421,0,0,0,0.008772,0,0.017544,0.035088,0.04386,0.017544,0.026316,0.017544,0.217857,0.005263,0,0,0,0,0,0,0,0.128947,0,0,0.1,0,0.008772,0.017544,0.035088,0.008772,0,0,0.035088,0.017544,0.075,0,0,0,0,0,0,0,0,0.065789,0.002632,0.057895,0,0,0.017544,0.026316,0.017544,0.008772,0.035088,0.04386,0.04386,0.017544,0.221429,3
0,0,0,0,0,0.097561,0,0,0,0,0,0.007702,0.051348,0.048387,0.008065,0.024194,0.040323,0.040323,0,0,0.016129,0.156146,0,0,0,0,0,0.092426,0.006418,0,0,0.03466,0,0,0.035944,0.064516,0.032258,0,0.016129,0.080645,0.008065,0,0,0.166113,0,0,0,0,0,0.005135,0,0,0,0,0,0.155327,0,0.008065,0,0.008065,0.024194,0,0,0.032258,0.048387,0.146179,0,0,0,0,0,0.016688,0,0.006418,0,0.033376,0,0.053915,0,0.056452,0.024194,0.024194,0,0.104839,0.016129,0.032258,0.016129,0.318937,0,0,0,0,0,0,0,0,0,0,0,0.233633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007702,0.007702,0.011553,0.14249,0,0.080645,0.008065,0,0.016129,0.064516,0.024194,0.008065,0.024194,0.212625,4
0,0,0,0.016037,0,0,0.011455,0,0,0.019473,0,0,0.069874,0.02439,0.04878,0.018293,0.030488,0.018293,0.012195,0.036585,0.012195,0.244353,0,0,0,0,0,0.005727,0.010309,0,0,0.119129,0.017182,0,0,0,0.012195,0.067073,0.018293,0.012195,0.012195,0.091463,0,0.180698,0,0,0,0,0,0,0.033219,0,0.079038,0,0,0.041237,0,0.012195,0.006098,0.036585,0.030488,0,0,0.054878,0.042683,0.178645,0,0,0,0,0,0,0.081329,0,0.004582,0,0.119129,0,0,0.006098,0,0.012195,0.036585,0.012195,0,0.006098,0.012195,0.086242,0.026346,0,0,0,0,0,0,0,0.075601,0,0.001145,0.080183,0,0.018293,0.02439,0.04878,0.006098,0.012195,0.006098,0.042683,0.02439,0.160164,0,0,0,0,0,0,0.001145,0,0.016037,0,0.171821,0,0,0.018293,0.012195,0.006098,0.006098,0.02439,0.042683,0.018293,0.006098,0.149897,5
0,0,0,0,0,0,0,0.008963,0,0,0,0.117798,0.00128,0.025862,0.008621,0.094828,0.008621,0,0.008621,0.077586,0.017241,0.211656,0,0,0,0,0,0,0,0,0.03073,0.053777,0.007682,0.016645,0,0.017241,0.008621,0.068966,0.043103,0.043103,0.017241,0.034483,0.034483,0.297546,0,0,0,0,0,0,0,0,0,0,0,0.216389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038412,0,0.057618,0.033291,0,0.086207,0.025862,0,0,0.086207,0.025862,0,0,0.248466,0,0,0,0,0,0,0,0,0,0,0,0.24968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008963,0,0.119078,0.039693,0,0.094828,0.017241,0,0,0.094828,0.025862,0.017241,0.017241,0.242331,7
0,0,0,0,0,0,0.028257,0,0,0,0,0,0.117739,0.017857,0.071429,0.026786,0,0.017857,0.044643,0.008929,0,0.177843,0,0,0,0,0,0,0.053375,0,0,0.156986,0,0,0,0,0,0.026786,0.008929,0.017857,0.008929,0.035714,0,0.058309,0,0,0,0,0,0,0.130298,0,0,0,0,0.006279,0.009419,0.0625,0.026786,0,0.008929,0.071429,0.017857,0,0.008929,0.177843,0,0,0,0,0,0,0.086342,0,0,0.155416,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023548,0,0,0,0,0.010989,0,0,0,0,0.124019,0,0.026786,0.017857,0.035714,0.017857,0.017857,0,0.035714,0.071429,0.236152,0,0.006279,0,0,0.043956,0,0.007849,0,0,0.023548,0.006279,0.009419,0,0,0.008929,0.080357,0.026786,0.053571,0.017857,0.089286,0.017857,0.349854,6
0,0,0,0,0.037175,0,0,0,0,0,0,0.018587,0.040892,0.059524,0.035714,0.071429,0,0,0,0.011905,0.02381,0.203911,0,0,0,0,0.048327,0,0.007435,0,0,0.100372,0,0,0,0,0,0.059524,0.02381,0.095238,0.011905,0,0,0.189944,0,0,0,0,0,0,0,0,0.126394,0,0,0.122677,0,0.059524,0.035714,0,0,0,0,0.011905,0.035714,0.089385,0,0,0,0,0.02974,0,0.048327,0,0,0.078067,0,0,0,0,0,0,0.059524,0.047619,0.02381,0,0,0.189944,0,0,0,0,0.011152,0,0,0,0.011152,0,0,0.152416,0,0.083333,0.011905,0,0,0,0,0.02381,0.035714,0.145251,0,0,0,0,0.096654,0,0,0,0,0,0.070632,0,0,0,0,0,0,0.059524,0.059524,0.059524,0,0.181564,8
