@relation digTrain2k

@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute f8 numeric
@attribute f9 numeric
@attribute f10 numeric
@attribute f11 numeric
@attribute f12 numeric
@attribute f13 numeric
@attribute f14 numeric
@attribute f15 numeric
@attribute f16 numeric
@attribute f17 numeric
@attribute f18 numeric
@attribute f19 numeric
@attribute f20 numeric
@attribute f21 numeric
@attribute f22 numeric
@attribute f23 numeric
@attribute f24 numeric
@attribute f25 numeric
@attribute f26 numeric
@attribute f27 numeric
@attribute f28 numeric
@attribute f29 numeric
@attribute f30 numeric
@attribute f31 numeric
@attribute f32 numeric
@attribute f33 numeric
@attribute f34 numeric
@attribute f35 numeric
@attribute f36 numeric
@attribute f37 numeric
@attribute f38 numeric
@attribute f39 numeric
@attribute f40 numeric
@attribute f41 numeric
@attribute f42 numeric
@attribute f43 numeric
@attribute f44 numeric
@attribute f45 numeric
@attribute f46 numeric
@attribute f47 numeric
@attribute f48 numeric
@attribute f49 numeric
@attribute f50 numeric
@attribute f51 numeric
@attribute f52 numeric
@attribute f53 numeric
@attribute f54 numeric
@attribute f55 numeric
@attribute f56 numeric
@attribute f57 numeric
@attribute f58 numeric
@attribute f59 numeric
@attribute f60 numeric
@attribute f61 numeric
@attribute f62 numeric
@attribute f63 numeric
@attribute f64 numeric
@attribute f65 numeric
@attribute f66 numeric
@attribute f67 numeric
@attribute f68 numeric
@attribute f69 numeric
@attribute f70 numeric
@attribute f71 numeric
@attribute f72 numeric
@attribute f73 numeric
@attribute f74 numeric
@attribute f75 numeric
@attribute f76 numeric
@attribute f77 numeric
@attribute f78 numeric
@attribute f79 numeric
@attribute f80 numeric
@attribute f81 numeric
@attribute f82 numeric
@attribute f83 numeric
@attribute f84 numeric
@attribute f85 numeric
@attribute f86 numeric
@attribute f87 numeric
@attribute f88 numeric
@attribute f89 numeric
@attribute f90 numeric
@attribute f91 numeric
@attribute f92 numeric
@attribute f93 numeric
@attribute f94 numeric
@attribute f95 numeric
@attribute f96 numeric
@attribute f97 numeric
@attribute f98 numeric
@attribute f99 numeric
@attribute f100 numeric
@attribute f101 numeric
@attribute f102 numeric
@attribute f103 numeric
@attribute f104 numeric
@attribute f105 numeric
@attribute f106 numeric
@attribute f107 numeric
@attribute f108 numeric
@attribute f109 numeric
@attribute f110 numeric
@attribute f111 numeric
@attribute f112 numeric
@attribute f113 numeric
@attribute f114 numeric
@attribute f115 numeric
@attribute f116 numeric
@attribute f117 numeric
@attribute f118 numeric
@attribute f119 numeric
@attribute f120 numeric
@attribute f121 numeric
@attribute f122 numeric
@attribute f123 numeric
@attribute f124 numeric
@attribute f125 numeric
@attribute f126 numeric
@attribute f127 numeric
@attribute f128 numeric
@attribute f129 numeric
@attribute f130 numeric
@attribute f131 numeric
@attribute f132 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9}

@data
0,0,0,0,0.00155,0,0,0,0,0,0,0,0.20155,0.011111,0.077778,0.011111,0,0,0,0,0,0.092732,0,0,0,0,0.035659,0,0,0,0,0.066667,0,0,0.010853,0,0.033333,0.055556,0.055556,0.077778,0,0,0,0.26817,0,0,0,0,0.130233,0,0,0,0,0,0,0,0.034109,0.077778,0.055556,0.011111,0,0,0,0,0,0.155388,0,0,0,0,0.181395,0,0,0,0,0.00155,0.007752,0,0,0,0,0,0.011111,0.088889,0.033333,0,0,0.142857,0,0,0,0,0.093023,0,0,0,0,0,0.009302,0.010853,0,0.1,0,0,0,0,0.022222,0.088889,0.033333,0.238095,0,0,0,0,0.032558,0,0,0,0,0,0.182946,0,0,0,0,0,0,0.022222,0.077778,0.055556,0,0.102757,0
0,0,0,0,0,0,0,0,0,0,0,0,0.214592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034335,0,0.064378,0.043478,0.086957,0.043478,0,0.086957,0.057971,0.014493,0,0.310345,0,0,0,0,0,0,0,0,0,0,0,0,0.141631,0.043478,0.086957,0,0,0.014493,0.014493,0,0,0.195402,0,0,0,0,0,0,0,0,0,0,0.169528,0,0,0.014493,0,0,0,0.043478,0.072464,0,0,0.12069,0,0,0,0,0,0,0,0,0,0,0.092275,0.002146,0.023605,0.101449,0.057971,0,0,0.101449,0.057971,0.043478,0.014493,0.373563,0,0,0,0,0,0,0,0,0,0,0.257511,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0.00804,0,0,0,0,0,0,0,0,0,0.164824,0.019108,0.038217,0.038217,0,0,0.025478,0.031847,0,0.154739,0,0,0.029146,0,0.00603,0,0,0,0,0.127638,0,0,0.00603,0.031847,0.019108,0.031847,0.019108,0.057325,0.025478,0.012739,0.006369,0.162476,0,0,0.00804,0,0.01407,0,0,0,0.073367,0,0,0,0.106533,0.006369,0.031847,0.050955,0,0,0,0.006369,0.006369,0.098646,0,0,0.005025,0,0.00201,0,0.011055,0,0.020101,0.120603,0,0,0,0.019108,0.012739,0.031847,0.019108,0.038217,0.019108,0,0.006369,0.181818,0,0,0,0,0.046231,0,0,0.001005,0,0,0.039196,0.00402,0.022111,0.019108,0.044586,0.006369,0,0,0.044586,0.070064,0.012739,0.270793,0,0,0,0,0,0,0,0.041206,0,0.01407,0.129648,0,0,0,0,0.044586,0.012739,0.006369,0.038217,0.063694,0.031847,0.131528,2
0,0,0.001739,0,0,0.001739,0,0,0.050435,0,0,0,0.156522,0.013793,0.02069,0.02069,0.006897,0,0.006897,0.027586,0.006897,0.080292,0,0,0.012174,0,0,0,0,0,0.052174,0.010435,0.008696,0,0.001739,0.013793,0.013793,0.068966,0.02069,0.041379,0.013793,0.048276,0.013793,0.282238,0,0,0.006957,0,0,0,0,0,0.074783,0,0,0,0.123478,0.006897,0.013793,0.041379,0,0,0.006897,0.027586,0.013793,0.087591,0,0,0.008696,0,0,0,0.003478,0,0.036522,0,0.081739,0,0,0.006897,0.027586,0.02069,0.006897,0.048276,0.02069,0.041379,0.013793,0.218978,0.041739,0,0,0,0,0.005217,0,0,0.041739,0,0.012174,0.017391,0.038261,0.02069,0.02069,0.068966,0.006897,0.013793,0.013793,0.055172,0.02069,0.189781,0.008696,0,0,0,0,0,0,0,0.026087,0,0.177391,0,0,0.006897,0.034483,0.006897,0,0.027586,0.034483,0.034483,0,0.141119,3
0,0.000659,0,0,0,0.007251,0,0,0.000659,0,0,0,0.195781,0.005464,0.016393,0.005464,0.010929,0.016393,0.005464,0,0.005464,0.052104,0,0,0,0,0,0.040211,0.002637,0,0.001318,0,0.025049,0,0.094924,0.027322,0.043716,0.027322,0.016393,0.032787,0.038251,0.010929,0.010929,0.174349,0,0.021094,0.010547,0,0,0.007251,0,0.001978,0.000659,0,0,0,0.074489,0.038251,0.054645,0.04918,0.021858,0.016393,0.04918,0.032787,0.016393,0.320641,0,0,0,0,0,0.036915,0.007251,0,0,0,0.104153,0,0,0.027322,0.038251,0.021858,0.005464,0.043716,0.038251,0.010929,0,0.222445,0,0,0.015162,0,0,0,0,0.011206,0.023072,0,0.029005,0.079103,0,0.04918,0.038251,0.005464,0,0.032787,0.043716,0.027322,0.016393,0.194389,0,0,0,0,0,0,0,0,0,0,0.209624,0,0,0,0,0,0,0,0.016393,0.032787,0,0.036072,4
0,0,0,0,0,0,0,0,0,0,0,0,0.200938,0.015152,0.045455,0.030303,0,0,0,0,0,0.031579,0,0,0,0,0,0,0,0,0,0.00134,0.073677,0,0.042867,0.015152,0.090909,0.272727,0.015152,0.045455,0.121212,0.257576,0,0.357895,0.00067,0,0,0.00067,0,0,0.024113,0,0.002679,0,0.014066,0,0.117883,0.015152,0,0,0,0,0.015152,0.030303,0.015152,0.194737,0,0,0,0,0,0,0,0,0,0,0.208305,0,0,0,0,0,0,0,0,0.015152,0,0.002632,0.018754,0.005358,0,0,0,0.016745,0.00067,0,0.002679,0,0.03215,0.010047,0.017415,0,0,0,0,0,0,0,0,0.413158,0,0,0,0,0,0,0,0,0,0,0.208975,0,0,0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,0.001647,0,0,0,0,0,0.215815,0.028169,0.021127,0.014085,0,0,0.014085,0,0,0.065753,0,0,0,0,0,0,0.065898,0,0,0.118616,0,0,0.019769,0,0.028169,0.021127,0.007042,0.021127,0.042254,0.021127,0,0.120548,0,0.031301,0,0,0.019769,0,0.023064,0,0.004942,0,0,0,0.069193,0.014085,0.056338,0.028169,0.014085,0.035211,0.035211,0.014085,0.021127,0.180822,0,0.019769,0,0,0.018122,0,0.067545,0,0,0.062603,0.001647,0,0,0.014085,0.014085,0.070423,0.021127,0.014085,0.014085,0,0.007042,0.178082,0,0.001647,0,0,0.051071,0,0,0,0.003295,0,0.003295,0.016474,0.001647,0.042254,0.056338,0.021127,0.021127,0.014085,0.028169,0.056338,0.049296,0.29863,0,0,0,0,0.037891,0,0,0,0,0,0.144975,0,0,0,0,0,0,0.028169,0.042254,0.049296,0,0.156164,6
0,0,0.024422,0,0,0,0,0,0,0,0,0,0.102828,0.022388,0.037313,0.067164,0,0.014925,0.029851,0.029851,0,0.223757,0,0,0.015424,0,0.037275,0,0.001285,0,0,0.005141,0.011568,0,0.012853,0.007463,0.044776,0.074627,0.014925,0.044776,0.044776,0.044776,0.022388,0.31768,0,0,0.034704,0,0,0,0,0,0.118252,0,0,0.048843,0,0.029851,0.022388,0,0,0,0.014925,0.022388,0.007463,0.063536,0,0,0.007712,0,0.006427,0,0,0,0.003856,0,0.122108,0,0,0.014925,0.037313,0.007463,0,0.029851,0.059701,0.007463,0,0.196133,0,0,0,0,0,0,0,0,0.052699,0,0.053985,0.07455,0,0.037313,0.052239,0.022388,0,0.037313,0.044776,0.022388,0.014925,0.190608,0,0,0,0,0,0,0,0,0,0,0.266067,0,0,0,0,0,0,0,0.014925,0,0,0.008287,7
0,0,0,0,0.013904,0,0,0,0.00107,0,0,0,0.163636,0.031746,0.02381,0.055556,0,0,0,0.007937,0.007937,0.110251,0.00107,0.00107,0,0,0.035294,0.003209,0.002139,0,0,0.00107,0.028877,0,0.052406,0.007937,0.039683,0.087302,0.02381,0.047619,0.055556,0.007937,0.007937,0.234043,0,0,0,0,0.005348,0,0,0,0.023529,0,0,0,0.100535,0.031746,0.047619,0.007937,0,0,0,0,0.031746,0.199226,0,0,0,0,0.007487,0,0.003209,0,0,0,0.170053,0,0,0,0,0,0.02381,0.02381,0.063492,0.031746,0,0.133462,0,0,0,0,0.054545,0,0,0,0.003209,0,0.035294,0.006417,0.012834,0.055556,0.039683,0.015873,0,0.015873,0.039683,0.063492,0.031746,0.29207,0,0,0,0,0,0,0.004278,0,0,0,0.269519,0,0,0,0,0,0.015873,0.02381,0.02381,0.007937,0,0.030948,8
0,0,0,0,0.009653,0,0,0,0.001931,0,0,0,0.156371,0.033058,0.057851,0.016529,0,0,0,0,0.016529,0.163366,0,0,0,0,0.066602,0,0.000965,0,0,0.015444,0.019305,0,0.003861,0,0.016529,0.066116,0.041322,0.049587,0.041322,0.024793,0,0.321782,0,0,0,0,0,0,0,0,0.071429,0,0,0,0.123552,0.057851,0.033058,0.008264,0,0,0,0.041322,0.008264,0.094059,0,0,0,0,0,0,0.003861,0,0,0,0.146718,0,0,0.016529,0,0,0.008264,0.07438,0.049587,0.016529,0.016529,0.207921,0,0,0,0,0,0,0,0,0.004826,0,0.070463,0,0.074324,0.057851,0.07438,0.016529,0,0.033058,0.082645,0.033058,0,0.210396,0,0,0,0,0,0,0,0,0,0,0.230695,0,0,0,0,0,0,0,0.008264,0,0,0.002475,9
